paper,question,type,name,marks,qp_start,qp_end,ms_page,status,duplicate_group,mastery
9702_w22_43,1(c)(i),C10,卫星周期 轨道半径与图像,2,140,162,388,评分依据已定位；跨版本重复待视觉复核,9702_w22_41:1(c)(i),未学
9702_w22_43,1(c)(ii),C11,同步轨道与地面自转,2,140,162,388,评分依据已定位；跨版本重复待视觉复核,9702_w22_41:1(c)(ii),未学
9702_s23_43,2(a),C08,分解真实作用力,3,232,253,140,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(a),未学
9702_s23_43,2(b)(i),C03,线速度与实际半径,1,232,253,140,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(b)(i),未学
9702_s23_43,2(b)(ii),C08,分解真实作用力,2,232,253,140,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(b)(ii),未学
9702_s23_43,2(b)(iii),C08,分解真实作用力,2,232,253,140,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(b)(iii),未学
9702_s23_43,2(c)(i),C08,分解真实作用力,2,232,253,140,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(c)(i),未学
9702_s23_43,2(c)(ii),C02,角速度 周期与转角,2,232,253,141,评分依据已定位；跨版本重复待视觉复核,9702_s23_41:2(c)(ii),未学
9702_w23_43,6(b)(i),C05,速度 加速度与合力方向,1,323,345,467,评分依据已定位；跨版本重复待视觉复核,9702_w23_41:6(b)(i),未学
9702_w23_43,6(b)(ii),C13,磁力提供向心力,2,323,345,467,评分依据已定位；跨版本重复待视觉复核,9702_w23_41:6(b)(ii),未学
9702_w23_43,6(b)(iii),C05,速度 加速度与合力方向,1,323,345,467,评分依据已定位；跨版本重复待视觉复核,9702_w23_41:6(b)(iii),未学
9702_w23_43,6(b)(iv),C13,磁力提供向心力,3,323,345,467,评分依据已定位；跨版本重复待视觉复核,9702_w23_41:6(b)(iv),未学
9702_w23_43,6(c),C13,磁力提供向心力,3,323,345,467,评分依据已定位；跨版本重复待视觉复核,9702_w23_41:6(c),未学
9702_w24_43,1(b)(i),C05,速度 加速度与合力方向,2,546,569,537,评分依据已定位；跨版本重复待视觉复核,9702_w24_41:1(b)(i),未学
9702_w24_43,1(b)(ii),C10,卫星周期 轨道半径与图像,3,546,569,537,评分依据已定位；跨版本重复待视觉复核,9702_w24_41:1(b)(ii),未学
9702_w24_43,1(b)(iii),C10,卫星周期 轨道半径与图像,5,546,569,537,评分依据已定位；跨版本重复待视觉复核,9702_w24_41:1(b)(iii),未学
9702_s25_43,1(c)(i),C11,同步轨道与地面自转,1,642,665,304,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:1(c)(i),未学
9702_s25_43,1(c)(ii),C11,同步轨道与地面自转,1,642,665,304,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:1(c)(ii),未学
9702_s25_43,2(b)(i),C12,库仑力提供向心力,1,642,665,305,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(b)(i),未学
9702_s25_43,2(b)(ii),C12,库仑力提供向心力,1,642,665,305,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(b)(ii),未学
9702_s25_43,2(c)(i),C12,库仑力提供向心力,2,642,665,305,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(c)(i),未学
9702_s25_43,2(c)(ii),C12,库仑力提供向心力,2,642,665,305,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(c)(ii),未学
9702_s25_43,2(d)(i),C12,库仑力提供向心力,2,642,665,306,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(d)(i),未学
9702_s25_43,2(d)(ii),C12,库仑力提供向心力,1,642,665,306,评分依据已定位；跨版本重复待视觉复核,9702_s25_41:2(d)(ii),未学
9702_w25_43,1(a),C05,速度 加速度与合力方向,2,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(a),未学
9702_w25_43,1(b)(i),C03,线速度与实际半径,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(b)(i),未学
9702_w25_43,1(b)(ii),C04,向心加速度计算,2,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(b)(ii),未学
9702_w25_43,1(c)(i),C15,圆周运动投影与简谐运动,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(c)(i),未学
9702_w25_43,1(c)(ii),C02,角速度 周期与转角,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(c)(ii),未学
9702_w25_43,1(c)(iii),C15,圆周运动投影与简谐运动,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(c)(iii),未学
9702_w25_43,1(c)(iv),C15,圆周运动投影与简谐运动,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(c)(iv),未学
9702_w25_43,1(d)(i),C15,圆周运动投影与简谐运动,1,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(d)(i),未学
9702_w25_43,1(d)(ii),C02,角速度 周期与转角,2,738,761,620,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(d)(ii),未学
9702_w25_43,1(d)(iii),C15,圆周运动投影与简谐运动,2,738,761,621,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(d)(iii),未学
9702_w25_43,1(e),C15,圆周运动投影与简谐运动,1,738,761,621,评分依据已定位；跨版本重复待视觉复核,9702_w25_41:1(e),未学
9702_s22_52,1 变量,P01,变量与控制,2,79,86,87,样本评分维度已核对,,未学
9702_s22_52,1 测量,P02,可执行装置与测量,4,79,86,87,样本评分维度已核对,,未学
9702_s22_52,1 分析,P03,直线化与参数提取,3,79,86,88,样本评分维度已核对,,未学
9702_s22_52,1 细节,P04,实验细节与情境安全,6,79,86,89,样本评分维度已核对,,未学
9702_s22_52,2(a),P03,直线化与参数提取,1,79,86,90,原题与评分依据已核对,,未学
9702_s22_52,2(b),P05,数据变换与不确定度,2,79,86,90,原题与评分依据已核对,,未学
9702_s22_52,2(c)(i),P06,描点与误差棒,2,79,86,90,原题与评分依据已核对,,未学
9702_s22_52,2(c)(ii),P07,最佳线与最差可接受线,2,79,86,90,原题与评分依据已核对,,未学
9702_s22_52,2(c)(iii),P08,斜率与不确定度,2,79,86,91,原题与评分依据已核对,,未学
9702_s22_52,2(c)(iv),P09,截距与不确定度,2,79,86,91,原题与评分依据已核对,,未学
9702_s22_52,2(d),P10,常量还原与单位缩放,3,79,86,92,原题与评分依据已核对,,未学
9702_s22_52,2(e),P12,预测与反解,1,79,86,92,原题与评分依据已核对,,未学
9702_w23_51,1 变量,P01,变量与控制,2,346,353,476,样本评分维度已核对,,未学
9702_w23_51,1 测量,P02,可执行装置与测量,4,346,353,476,样本评分维度已核对,,未学
9702_w23_51,1 分析,P03,直线化与参数提取,3,346,353,476,样本评分维度已核对,,未学
9702_w23_51,1 细节,P04,实验细节与情境安全,6,346,353,477,样本评分维度已核对,,未学
9702_w23_51,2(a),P03,直线化与参数提取,1,346,353,478,原题与评分依据已核对,,未学
9702_w23_51,2(b),P05,数据变换与不确定度,2,346,353,478,原题与评分依据已核对,,未学
9702_w23_51,2(c)(i),P06,描点与误差棒,2,346,353,478,原题与评分依据已核对,,未学
9702_w23_51,2(c)(ii),P07,最佳线与最差可接受线,2,346,353,479,原题与评分依据已核对,,未学
9702_w23_51,2(c)(iii),P08,斜率与不确定度,2,346,353,479,原题与评分依据已核对,,未学
9702_w23_51,2(c)(iv),P09,截距与不确定度,2,346,353,479,原题与评分依据已核对,,未学
9702_w23_51,2(d)(i),P10,常量还原与单位缩放,2,346,353,480,原题与评分依据已核对,,未学
9702_w23_51,2(d)(ii),P11,参数不确定度,1,346,353,480,原题与评分依据已核对,,未学
9702_w23_51,2(e),P12,预测与反解,1,346,353,481,原题与评分依据已核对,,未学
9702_s24_52,1 变量,P01,变量与控制,2,482,489,245,样本评分维度已核对,,未学
9702_s24_52,1 测量,P02,可执行装置与测量,4,482,489,245,样本评分维度已核对,,未学
9702_s24_52,1 分析,P03,直线化与参数提取,3,482,489,246,样本评分维度已核对,,未学
9702_s24_52,1 细节,P04,实验细节与情境安全,6,482,489,247,样本评分维度已核对,,未学
9702_s24_52,2(a),P03,直线化与参数提取,1,482,489,248,原题与评分依据已核对,,未学
9702_s24_52,2(b),P05,数据变换与不确定度,2,482,489,248,原题与评分依据已核对,,未学
9702_s24_52,2(c)(i),P06,描点与误差棒,2,482,489,248,原题与评分依据已核对,,未学
9702_s24_52,2(c)(ii),P07,最佳线与最差可接受线,2,482,489,249,原题与评分依据已核对,,未学
9702_s24_52,2(c)(iii),P08,斜率与不确定度,2,482,489,249,原题与评分依据已核对,,未学
9702_s24_52,2(c)(iv),P09,截距与不确定度,2,482,489,249,原题与评分依据已核对,,未学
9702_s24_52,2(d),P10,常量还原与单位缩放,3,482,489,250,原题与评分依据已核对,,未学
9702_s24_52,2(e),P12,预测与反解,1,482,489,250,原题与评分依据已核对,,未学
