id,kind,year,season,component,start,end,file
9702_s24_qp_42,qp,2024,s,42,427,450,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s24_qp_43,qp,2024,s,43,451,473,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s24_qp_51,qp,2024,s,51,474,481,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s24_qp_52,qp,2024,s,52,482,489,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s24_qp_53,qp,2024,s,53,490,497,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_41,qp,2024,w,41,498,521,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_42,qp,2024,w,42,522,545,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_43,qp,2024,w,43,546,569,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_51,qp,2024,w,51,570,577,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_52,qp,2024,w,52,578,585,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w24_qp_53,qp,2024,w,53,586,593,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_41,qp,2025,s,41,594,617,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_42,qp,2025,s,42,618,641,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_43,qp,2025,s,43,642,665,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_51,qp,2025,s,51,666,673,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_52,qp,2025,s,52,674,681,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s25_qp_53,qp,2025,s,53,682,689,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_41,qp,2025,w,41,690,713,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_42,qp,2025,w,42,714,737,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_43,qp,2025,w,43,738,761,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_51,qp,2025,w,51,762,769,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_52,qp,2025,w,52,770,777,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w25_qp_53,qp,2025,w,53,778,785,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_m24_ms_42,ms,2024,m,42,1,14,9702_all_ms_merged.pdf
9702_m24_ms_52,ms,2024,m,52,15,23,9702_all_ms_merged.pdf
9702_s22_ms_41,ms,2022,s,41,24,39,9702_all_ms_merged.pdf
9702_s22_ms_42,ms,2022,s,42,40,55,9702_all_ms_merged.pdf
9702_s22_ms_43,ms,2022,s,43,56,71,9702_all_ms_merged.pdf
9702_s22_ms_51,ms,2022,s,51,72,81,9702_all_ms_merged.pdf
9702_s22_ms_52,ms,2022,s,52,82,92,9702_all_ms_merged.pdf
9702_s22_ms_53,ms,2022,s,53,93,102,9702_all_ms_merged.pdf
9702_s23_ms_41,ms,2023,s,41,103,118,9702_all_ms_merged.pdf
9702_s23_ms_42,ms,2023,s,42,119,133,9702_all_ms_merged.pdf
9702_s23_ms_43,ms,2023,s,43,134,149,9702_all_ms_merged.pdf
9702_s23_ms_51,ms,2023,s,51,150,161,9702_all_ms_merged.pdf
9702_s23_ms_52,ms,2023,s,52,162,173,9702_all_ms_merged.pdf
9702_s23_ms_53,ms,2023,s,53,174,185,9702_all_ms_merged.pdf
9702_s24_ms_41,ms,2024,s,41,186,200,9702_all_ms_merged.pdf
9702_s24_ms_42,ms,2024,s,42,201,216,9702_all_ms_merged.pdf
9702_s24_ms_43,ms,2024,s,43,217,231,9702_all_ms_merged.pdf
9702_s24_ms_51,ms,2024,s,51,232,240,9702_all_ms_merged.pdf
9702_s24_ms_52,ms,2024,s,52,241,250,9702_all_ms_merged.pdf
9702_s24_ms_53,ms,2024,s,53,251,259,9702_all_ms_merged.pdf
9702_s25_ms_41,ms,2025,s,41,260,278,9702_all_ms_merged.pdf
9702_s25_ms_42,ms,2025,s,42,279,296,9702_all_ms_merged.pdf
9702_s25_ms_43,ms,2025,s,43,297,315,9702_all_ms_merged.pdf
9702_s25_ms_51,ms,2025,s,51,316,327,9702_all_ms_merged.pdf
9702_s25_ms_52,ms,2025,s,52,328,339,9702_all_ms_merged.pdf
9702_s25_ms_53,ms,2025,s,53,340,351,9702_all_ms_merged.pdf
9702_w22_ms_41,ms,2022,w,41,352,366,9702_all_ms_merged.pdf
9702_w22_ms_42,ms,2022,w,42,367,382,9702_all_ms_merged.pdf
9702_w22_ms_43,ms,2022,w,43,383,397,9702_all_ms_merged.pdf
9702_w22_ms_51,ms,2022,w,51,398,406,9702_all_ms_merged.pdf
9702_w22_ms_52,ms,2022,w,52,407,415,9702_all_ms_merged.pdf
9702_w22_ms_53,ms,2022,w,53,416,424,9702_all_ms_merged.pdf
9702_w23_ms_41,ms,2023,w,41,425,440,9702_all_ms_merged.pdf
9702_w23_ms_42,ms,2023,w,42,441,455,9702_all_ms_merged.pdf
9702_w23_ms_43,ms,2023,w,43,456,471,9702_all_ms_merged.pdf
9702_w23_ms_51,ms,2023,w,51,472,481,9702_all_ms_merged.pdf
9702_w23_ms_52,ms,2023,w,52,482,492,9702_all_ms_merged.pdf
9702_w23_ms_53,ms,2023,w,53,493,502,9702_all_ms_merged.pdf
9702_w24_ms_41,ms,2024,w,41,503,517,9702_all_ms_merged.pdf
9702_w24_ms_42,ms,2024,w,42,518,531,9702_all_ms_merged.pdf
9702_w24_ms_43,ms,2024,w,43,532,546,9702_all_ms_merged.pdf
9702_w24_ms_51,ms,2024,w,51,547,557,9702_all_ms_merged.pdf
9702_w24_ms_52,ms,2024,w,52,558,567,9702_all_ms_merged.pdf
9702_w24_ms_53,ms,2024,w,53,568,578,9702_all_ms_merged.pdf
9702_w25_ms_41,ms,2025,w,41,579,595,9702_all_ms_merged.pdf
9702_w25_ms_42,ms,2025,w,42,596,612,9702_all_ms_merged.pdf
9702_w25_ms_43,ms,2025,w,43,613,629,9702_all_ms_merged.pdf
9702_w25_ms_51,ms,2025,w,51,630,640,9702_all_ms_merged.pdf
9702_w25_ms_52,ms,2025,w,52,641,651,9702_all_ms_merged.pdf
9702_w25_ms_53,ms,2025,w,53,652,662,9702_all_ms_merged.pdf
